,pos,GEMI_strength_rep1,GEMI_strength_rep2,GEMI_strength_rep3
0,740,0.0919336741426913,0.0906461768165175,0.0668753001141342
1,1383,0.2083994963009929,0.2987649148860845,0.3489635220215914
2,1553,0.1694688476931127,0.1909266427587323,0.1583328438050371
3,1823,0.1305186584142309,0.165121206485566,0.178962022714471
4,3193,0.4650310332448152,0.5791459371210832,0.6276711406883685
5,3319,0.0552733801286702,0.0684644309185891,0.1209348603717049
6,3532,0.0866664717827869,0.121573968300882,0.0943559005023768
7,3987,0.163825754691495,0.2501726823769022,0.1885701730340945
8,4650,0.2562245097654787,0.2355661651595835,0.4103898693521608
9,4861,0.0650857105416475,0.0722142934859352,0.067714395000083
10,5651,0.0406703295241369,0.084234717164275,0.0563647233341652
11,6656,0.0613500357166409,0.0735965370782081,0.1776130180863283
12,7008,0.0724159477290523,0.0624210956378078,0.1232562200307909
13,7137,0.1460444676524124,0.1819004563937348,0.1872688621767317
14,7355,0.0711961169255304,0.1130814882050983,0.0488241641742339
15,8158,0.0721323550868674,0.1093717492518712,0.0763808672948627
16,8774,0.2012454234711502,0.1659336928762665,0.1426944082314373
17,8954,0.0801393337126724,0.0824423908585741,0.0874159599167564
18,9760,0.0772245392667496,0.117231692706837,0.1320398580540861
19,10715,0.1937186453916068,0.1755761171909116,0.2654694251859031
20,10726,0.1049142829006442,0.0491571245141,0.1329306305515993
21,10761,0.1185607000531496,0.167683192090489,0.267754305792482
22,10804,0.5730863557437282,0.5103551406372462,0.7111618512045068
23,11581,0.0832184677098286,0.111301991667798,0.085651191642363
24,11680,0.1296576467097687,0.1120363319253834,0.070664931119315
25,12677,0.2925024052584463,0.3659308271215259,0.3655610396904286
26,13491,0.0589466838695157,0.084841601123405,0.0966364757499302
27,14365,0.0966049372267426,0.1892795766277499,0.169035627807909
28,15215,0.3805866843236722,0.4836188977682034,1.0087481288426003
29,15226,0.589919875461276,0.5919681370389552,0.7405817024266015
30,16840,0.0721862436903746,0.0561528810466562,0.0721462139664463
31,16849,0.1187102661302623,0.1299691356940933,0.0866518743254065
32,18102,0.0505300022142115,0.0405953068808444,0.1053400517145614
33,18198,0.0555215375707014,0.0454468356580602,0.1067023713220736
34,18716,0.1242690743631541,0.1382421763702316,0.1462372393386073
35,18785,0.0611693601720506,0.0500192419041947,0.068817511860185
36,19079,0.0892168678999729,0.0745690030790073,0.0900692081637165
37,19851,0.0408843334386599,0.0849806578962943,0.0937663739351553
38,20095,6.4383973296298045,6.503238481979519,7.599018146904668
39,21071,0.3885046606708324,0.3041308080963326,0.7586271477270441
40,21184,0.0648026786539084,0.0700627126288582,0.0426781381735346
41,21540,0.0854436035225842,0.0744061704182137,0.0501973955712035
42,21586,0.0689865611814559,0.0400173517617924,0.1196382918962668
43,21891,0.0654480609144867,0.0704772072497167,0.0944527683761826
44,22153,0.0751519911798059,0.0488043353104844,0.0440730041938002
45,22514,0.0942200329822975,0.0672194236917835,0.0460691588898203
46,22915,0.0727783011050343,0.0519237945141703,0.0950722107314945
47,23141,0.4217369770632473,0.3423303639024775,0.442179396758958
48,23368,0.3801919908086166,0.2486398659000645,0.3037774870185088
49,23470,0.2870613881444739,0.3005997754861387,0.2246252771388273
50,23737,0.0617499352732697,0.0580875115472262,0.0628729640518399
51,24493,0.1808293300448609,0.1335494210254144,0.3393904420226583
52,24560,0.3489458745432519,0.3478117271244039,0.7485435878522662
53,24663,0.3120659205842815,0.3077231301487821,0.4406435992153499
54,24945,0.1322798663100637,0.2027671508280804,0.1943120615060989
55,25536,0.4150344980185618,0.3417551247293275,0.635603372542817
56,25545,0.097616942794962,0.1060540560109899,0.1246780206264817
57,25995,0.1619956853887978,0.1185334173720766,0.1709415211425671
58,27654,0.8242988377374036,0.6495757517508753,0.8835669480280481
59,27662,0.2567477811890808,0.2314988706991276,0.2576411124383799
60,27732,0.0804741049716406,0.0686094920680435,0.0434768692299234
61,29003,0.2003169699942522,0.1884161036754944,0.1446867154651805
62,29702,0.1121010652125846,0.1143793892282984,0.1397850685805359
63,29876,0.0434838743877676,0.0598609189701431,0.0924202653735972
64,29992,0.0660219671560733,0.0414532259595068,0.0602527702322712
65,30059,0.2289018290681852,0.2411996178157727,0.1684734299489221
66,30375,0.2866366747090878,0.2979474628215866,0.2412713517214676
67,30649,0.1025273541506814,0.0971776448321262,0.0759618317314542
68,30707,0.0452262750147609,0.0473265022938177,0.0484652505832536
69,31060,0.1279828354895364,0.0749886576904548,0.0449114407713784
70,31245,2.2011798084072405,1.7140262980241685,1.5935044717487528
71,31535,0.0728013328307621,0.0657155694614426,0.1225021973241963
72,31839,0.1835027903690138,0.1960490803310779,0.1626925314571508
73,32250,0.0445947541716631,0.0782835165276499,0.040841415952963
74,32514,0.0795671714879885,0.0802558704954236,0.0538838553100879
75,32787,0.055163125318095,0.0686520247760247,0.0408568022262032
76,32858,0.1392473326358667,0.1212118107690976,0.1394746273265652
77,32959,0.0934381909040877,0.0811096723727189,0.0950982478147806
78,33089,0.6245319016278588,0.5454677359679483,0.4870632509215262
79,33442,0.0433397927398053,0.0656403917379397,0.0672620962977057
80,33503,0.2930274154908423,0.3315347288181509,0.5534450727409745
81,33571,0.4708314784961036,0.3772831177429963,0.5352600851929545
82,35202,0.0867824315629743,0.0834678504138286,0.1621412158978943
83,35664,0.0804520655413947,0.061985029439914,0.1215015587161649
84,37541,0.1128005961624587,0.0827709131738485,0.0672421104826561
85,38247,0.1505485744074644,0.1146462558398153,0.1564228479921485
86,38445,0.3018726484287239,0.335700340845692,0.2800191181869187
