,pos,LEVO_strength_rep1,LEVO_strength_rep2,LEVO_strength_rep3
0,740,0.1784781760540992,0.1992291481935506,0.0902623964123734
1,1101,0.0702061693005009,0.0885584028079929,0.072069749087133
2,1359,0.1854440244830313,0.2572347140309359,0.1008835289754576
3,1465,0.677873581695442,0.5386737092831342,0.2958139355112852
4,1553,0.068047756630609,0.1472154379638017,0.1193037357851578
5,3193,0.6878687681721871,1.1075545094631285,0.6622047146250354
6,3987,0.8997966274635,0.8892787250680605,0.523085183945316
7,4585,0.2596014708289347,0.2086711695068354,0.1203752494211187
8,5246,0.1313002952703538,0.0725647374772339,0.0900966485493597
9,5496,0.0666510798342949,0.0808701024094163,0.0605247216586457
10,6354,0.0798390044649313,0.0929828356180018,0.0704211113053827
11,6596,0.2186560274783417,0.2522519617206277,0.230869658010881
12,6656,0.3050404917616047,0.1618499204616698,0.3108452680023325
13,7355,0.0708972138456541,0.1428132151792308,0.0599627411358387
14,7700,0.1153620470187678,0.1739252915081003,0.0908109602378564
15,8327,0.4530789305463341,0.2756749057609086,0.3694924369536232
16,8774,0.0617137418181465,0.062128077554192,0.0695094102133433
17,8954,0.2604000811557786,0.3241744434522575,0.1580036907586802
18,10128,0.112302266661302,0.0569025943911685,0.0610594423311949
19,10217,0.6627730528563505,0.2008071956934352,0.0821537982124167
20,10715,0.1945112844039713,0.2643544427781208,0.2154816348155418
21,10726,0.0991923701143656,0.0570343000675759,0.132157426877332
22,10761,0.5917414025630237,0.9479130032481536,0.6105641697622466
23,10804,1.2130913691111909,1.4098156913759077,0.9371947632072596
24,11581,0.3121637956330014,0.1316659974048004,0.0946110054038777
25,12677,1.2815499293246837,1.395744803977169,0.7466631895732213
26,13491,0.0618576755969706,0.0803664789125917,0.1013377147971323
27,14365,0.2533581695186904,0.1290078813872751,0.1485527644389459
28,14845,0.1056365550133582,0.0829283032573278,0.0996336358416514
29,15113,0.0796314643399451,0.1002473993913521,0.0864461099356155
