,pos,strength_rep1,strength_rep2,strength_rep3,avg_strength,mod_GCS
0,740,0.1131883015772614,0.1023670858191795,0.0878915910774871,0.1011489928246426,740
1,1359,0.1454050101130328,0.1252374776587359,0.1483146883080164,0.139652392026595,1359
2,1465,0.4435915406972746,0.2289321294044208,0.26518019863656,0.3125679562460852,1465
3,1553,0.1086197805935653,0.104249266579208,0.0888907052223157,0.1005865841316963,1553
4,3193,0.6113291799895348,0.4197835474783482,0.5890257719318207,0.5400461664665679,3193
5,3254,0.0410421891103093,0.0434122598145034,0.0639930706092876,0.0494825065113667,3254
6,3532,0.0922624055641958,0.110422862267044,0.1067495894793368,0.1031449524368588,3532
7,3987,0.6054347322007934,0.2954902999318273,0.5294500533365254,0.476791695156382,3987
8,5246,0.0822873444016313,0.0489044854930633,0.0855064231463267,0.0722327510136737,5246
9,6596,0.2027470064233359,0.1426502948682561,0.215085724577645,0.1868276752897456,6596
10,6656,0.1768799805937143,0.1038317467686292,0.2211695997781073,0.1672937757134835,6656
11,7355,0.0801235064384147,0.0537693138781716,0.0595914228374394,0.0644947477180086,7355
12,7700,0.0855353370762218,0.0789212150861118,0.1164937812304477,0.0936501111309271,7700
13,8327,0.2583754069838325,0.1106111022270277,0.3077543675144101,0.2255802922417567,8327
14,8954,0.1661337984690607,0.1541763937529494,0.1179645826245289,0.146091591615513,8954
15,9760,0.0842286677197199,0.0435752152299646,0.0878870709534096,0.0718969846343647,9760
16,10226,0.1107964038443163,0.062078581434708,0.1319237389922605,0.1015995747570949,10226
17,10715,0.2355738213057046,0.1239031588701468,0.2679329060366062,0.2091366287374859,10715
18,10737,0.050523933949488,0.0405364765540419,0.0611986037779219,0.0507530047604839,10737
19,10761,0.4487015101962662,0.3883023364052365,0.637611384090186,0.4915384102305629,10761
20,10804,0.8473000776527868,0.6860581592382907,0.9865273824492796,0.8399618731134524,10804
21,12677,0.8173720285425445,0.622345228558089,0.9422960259531648,0.7940044276845994,12677
22,14365,0.4162549517172944,0.2115981176435175,0.1927815910824521,0.2735448868144213,14365
