,pos,NOR_strength_rep1,NOR_strength_rep2,NOR_strength_rep3
0,3193,0.2414557559909438,0.1828876272863007,0.1571361341833896
1,3987,0.1029258842980933,0.1438104297031195,0.0419671368386453
2,12677,0.3369524709323181,0.3460590560754131,0.1266498031012468
3,15226,0.1351403234997996,0.0963007911974505,0.0782120666603958
4,20095,0.5675530237880082,1.1646873499614827,0.2924288744588456
5,22915,0.1330706565038769,0.0893349178068267,0.0623845453258671
6,30146,0.1361887246068081,0.1153096901531591,0.0723034411326448
7,31245,0.1816031319546898,0.1205874224604814,0.0958811255246296
8,41234,0.0987981957437248,0.1205779413170573,0.0407815637284685
9,43537,0.4985151169187549,0.4584259778899188,0.1849993435587902
10,44442,0.0717029492210696,0.0821450805780599,0.0648453552587597
11,47760,0.0949037029646,0.0738004441958859,0.0535223654768594
12,50853,0.0870110545490632,0.0653568454078821,0.0504717384889195
13,56755,0.108802088717045,0.054648519332638,0.0474094973510179
14,61211,0.4402406926287809,0.5406558865579878,0.2852691427817222
15,61688,0.223106428506058,0.2407465766147784,0.1306934653936928
16,62781,0.1360351099492769,0.2025597835582337,0.0984002684698266
17,62924,0.0980647540411114,0.1119570590188628,0.0829089430446603
18,66478,0.1562121082348395,0.096578611422075,0.0740812333370253
19,67202,0.0759247189562231,0.0847057702724125,0.0495816564150037
20,67868,0.2048857693885297,0.2905934236034432,0.184861234160913
21,67889,1.148519837026619,1.3850943493825254,0.6734210497112105
22,70947,0.0839054625700301,0.0661469462748027,0.0632105604636885
23,75736,0.1723367734079155,0.3320814233281206,0.0442136016128469
24,77034,0.0422422405637954,0.1163382026682051,0.0514763683790797
25,77161,0.0415098312762376,0.0564345442542433,0.0431554498413571
26,80218,0.0741549428155903,0.066622694110188,0.0759359360912361
27,81249,0.1450194654598691,0.08556474890604,0.0932173986844815
28,92123,0.0999700891279273,0.148242172770352,0.0714496035061156
29,94784,0.6719421124454392,0.6799499144248597,0.2537212790883063
30,97419,0.2179599686302822,0.1397348936397588,0.0529078001466263
31,97439,0.1031483166206017,0.115954329573118,0.0495179075435094
32,101685,0.1283656861311792,0.0796882500662035,0.0477095872756838
33,104269,0.2848400105423181,0.4849496332219094,0.1401705959657346
34,109255,0.422364870233733,0.395553495991257,0.2781180611959182
35,113536,0.6053870258721972,0.5911629281583244,0.1592161018276741
36,114608,0.1511420327008705,0.0835351359307996,0.0528170066980588
37,115106,0.1747893557593749,0.1300102773934699,0.0940709297030472
38,118392,0.1146362924814932,0.1306782171880045,0.0456313141285202
39,120237,0.2752515136523166,0.2193823320014765,0.0401391712823857
40,123463,0.0926878807515523,0.0940918746615562,0.0530134604507239
41,127836,0.138440330034846,0.059032520383403,0.063543476580292
42,130016,0.3630013739827484,0.232888675402189,0.1130625708970156
43,132781,0.1628924801541642,0.0913324493956582,0.0509078045895605
44,133897,0.1376919822524089,0.0653525222988327,0.0767182690293126
