,pos,MOXI_strength_rep1,MOXI_strength_rep2,MOXI_strength_rep3,LEVO_strength_rep1,LEVO_strength_rep2,LEVO_strength_rep3,GEMI_strength_rep1,GEMI_strength_rep2,GEMI_strength_rep3,CIP_strength_rep1,CIP_strength_rep2,CIP_strength_rep3,NOR_strength_rep1,NOR_strength_rep2,NOR_strength_rep3
7,3193,1.3397346495641171,1.3388217836468268,1.129679687688404,0.6878687681721871,1.1075545094631285,0.6622047146250354,0.4650310332448152,0.5791459371210832,0.6276711406883685,0.7209539958601086,0.8663190897430886,1.1302153831089523,0.2414557559909438,0.1828876272863007,0.1571361341833896
9,3987,0.667310465857869,0.6240523399867808,0.5523768696453171,0.8997966274635,0.8892787250680605,0.523085183945316,0.163825754691495,0.2501726823769022,0.1885701730340945,0.1849855236193727,0.2973741685372602,0.309514476749174,0.1029258842980933,0.1438104297031195,0.0419671368386453
34,12677,0.9394441665624448,0.8598161324120714,0.7748133035675424,1.2815499293246837,1.395744803977169,0.7466631895732213,0.2925024052584463,0.3659308271215259,0.3655610396904286,0.4435785691908106,0.6793116337419693,0.6190842659165278,0.3369524709323181,0.3460590560754131,0.1266498031012468
41,15226,1.1402082932777766,0.7594394736570936,0.9609247290234796,1.2859393759983253,1.0594149971801956,1.021399259978855,0.589919875461276,0.5919681370389552,0.7405817024266015,0.7334517615786738,0.6359238574086938,1.0157676424749036,0.1351403234997996,0.0963007911974505,0.0782120666603958
49,20095,15.30499435700772,7.63326093449831,9.429642352356936,7.844572534313664,3.328682274527865,4.405779636118496,6.4383973296298045,6.503238481979519,7.599018146904668,4.866813027059443,4.949588969490694,4.371265563602027,0.5675530237880082,1.1646873499614827,0.2924288744588456
93,31245,2.4999749380713334,1.699133783466224,2.1010506778747944,1.0434113067627142,1.1153356337880398,0.8350687202692058,2.2011798084072405,1.7140262980241685,1.5935044717487528,1.798716433673203,1.0881943560360765,1.5327485250440462,0.1816031319546898,0.1205874224604814,0.0958811255246296
133,41234,0.4677674095788702,0.3730541649981069,0.4306112132478588,0.4606847465885737,0.3680450995237956,0.3758470858560436,0.0869029700177533,0.0694835868652072,0.1477298887752987,0.1361049804156167,0.1561814312381426,0.1176350233059937,0.0987981957437248,0.1205779413170573,0.0407815637284685
134,43537,1.039908468976445,0.9890651439137604,1.1039618580041326,1.1676926213615395,0.906134144530314,1.080133578353653,0.6112336122726636,0.5424971407080519,0.8125083544026521,0.741685722441723,0.7237569436425059,0.7545819008631014,0.4985151169187549,0.4584259778899188,0.1849993435587902
147,47760,4.50983304400981,2.484665332700482,3.755612965677004,1.34594508646843,2.3781179692759293,2.216291966082477,0.5137070882849557,0.5142719230497106,0.8923291989286335,0.2900258708989129,0.2430355963374215,0.2798598158519247,0.0949037029646,0.0738004441958859,0.0535223654768594
166,50853,0.1101229228942539,0.0690604788340314,0.1497794432592976,0.2801542341875684,0.2666471080335411,0.2020156523386489,0.1536762428251723,0.1183195257238083,0.0870445363460434,0.1668284138445426,0.1033293306250162,0.2285897048575902,0.0870110545490632,0.0653568454078821,0.0504717384889195
199,61211,0.3978879236731504,0.3783544776245665,0.3917946155959165,0.6673156841552501,0.9287953903857168,0.3945348275941407,0.1333954920868683,0.1645392350207275,0.1877495663007871,0.5274525239166641,0.3732097012571366,0.4721707319691287,0.4402406926287809,0.5406558865579878,0.2852691427817222
225,66478,0.3001657480180975,0.1921026295826897,0.2378783358528616,0.3999405287778637,0.3878212379521604,0.2687549689350188,0.1634408010579888,0.1476122873012451,0.1325171601417234,0.2080160352839613,0.2657941821273617,0.3320414244088343,0.1562121082348395,0.096578611422075,0.0740812333370253
233,67868,1.730070551118455,1.203543916414695,1.0990420762897497,1.1836086745413397,1.3293286263627158,0.851900787464677,0.5454911905241486,0.6553029864756033,0.5640757360682773,0.6390197790115391,0.4590332488864526,1.0214523554281492,0.2048857693885297,0.2905934236034432,0.184861234160913
