pos,GEMI
3950900,6.78780752842107
4042864,6.08761391876548
3663316,3.65929279972246
2026735,3.33633838545187
2572173,3.19777473645189
2324738,3.05682468969147
1553994,2.85942538741426
2559624,2.57909791569039
3735507,2.57576330842492
3419058,2.49400974817423
2167694,2.37390087819596
1143248,2.3658690767642
816455,2.33098112072483
1563749,2.26564888037793
3459612,2.24067219677958
4415814,2.19601557340561
2302545,2.19167062043468
3796250,1.93187185039717
1017167,1.89566695476657
3249976,1.79278819444651
1082310,1.79191459053959
1978789,1.73652931248058
115942,1.69855196263353
3337487,1.65485986365597
1595110,1.62308244794326
4265328,1.6024866408476
2854475,1.55733591767228
1342755,1.5328733372647
1939611,1.51835314326263
4246209,1.51696252781596
3052953,1.49997813787418
2712993,1.41280782872907
1649396,1.35117516029889
4404151,1.33160455791332
130016,1.31811528652373
1595314,1.31360318651
66826,1.30541279485708
3479277,1.27383196523286
843959,1.27297578001109
2442643,1.26920656968777
3324491,1.26789197998374
2873955,1.26011694679844
4376536,1.22657062901405
2720720,1.19923979139872
358036,1.15327648784304
2155288,1.15109545723089
1599479,1.13436800413873
3848042,1.1259277005468
3018785,1.12329005929061
514036,1.09870736574295
2658631,1.07750708221828
3912726,1.0624770959751
1500214,1.05707793167208
2292489,1.0548639148072
1748293,1.05350148846469
4456646,1.04747720522729
1524092,1.02255811306171
3164440,1.01988274320359
2072312,1.01551139414442
4112048,0.988738195546209
235873,0.988580036913678
3912848,0.97101581283701
3293014,0.970908303991385
2506140,0.957336872797145
706958,0.93873302872217
1317954,0.928507940689992
751628,0.925929912432454
4572634,0.907139028935756
2743891,0.905286060835379
911930,0.902111655179174
811368,0.89126814075907
3440529,0.886218221365285
136534,0.884909372906066
3432226,0.882328856995489
3929094,0.87724139382979
4116280,0.874963117278442
2509272,0.872811437697644
2029924,0.868924891886858
3437040,0.868415056322563
2669286,0.860158445106822
3388360,0.85506383187897
481490,0.854910525483133
3052227,0.853441843891238
2391363,0.848747199828001
2096901,0.847368955760955
988110,0.844166902691819
2165446,0.836800776074272
383578,0.836234820715265
2703124,0.836148574987854
195849,0.835640419077141
357744,0.83486789082541
3662832,0.829802016020635
3323224,0.825606976521273
3440600,0.825048652768204
