pos,MOXI
3912787,43.8351399207421
2559563,32.5339483766658
2950709,13.3349973167631
1978802,12.8169767641435
2016826,12.7586712954057
290933,12.6924731199265
3183916,12.3463861536039
2087497,11.8327229447131
1385890,11.6886295745414
279462,11.5699790065714
20095,10.789299214621
1050241,10.1909473581407
3583891,9.79986182525229
2347219,9.73654154674598
2287262,9.46006444114058
1112050,9.33386712145441
3541052,8.77275698222596
494541,8.39126787544054
4459928,8.33476918469785
258207,8.02271232110346
2160319,7.805435080132
4513742,7.48005329163882
2657533,7.44684210590255
3197272,7.30290706712736
3074409,7.27760292514032
3302055,7.17225427005275
927174,6.87735278510858
2092335,6.87664080974175
1499453,6.69455537763382
1004845,6.67770007764687
210136,6.4021485283427
3299188,6.33795414416209
4207656,6.26715483583569
3759937,6.01910244547021
3258844,5.86811085195479
995208,5.67972632187301
742118,5.67001982723905
449274,5.6168986968288
185617,5.39679340096403
1145548,5.38269638623277
1457717,5.2353022039957
3208861,5.228680045185
781311,4.90522711142318
3598915,4.83609906275357
1768426,4.82781590540057
4273419,4.73687502156623
1169840,4.69214597516627
546017,4.62592976072522
363597,4.60411157474088
171374,4.53338080490345
2568982,4.53241027435288
2083010,4.50725380914281
1978811,4.49101162127538
417718,4.4525559021491
2506151,4.12858217654327
440452,4.09147072451469
115882,3.96686262090134
1488816,3.96599041913932
1835599,3.89674694459169
3873702,3.86297613326237
4287069,3.85629598152772
781007,3.83724648328355
3572628,3.73558920008567
3392367,3.69931697633872
329246,3.67353459764348
3093751,3.60619150511938
47760,3.58337044746243
1025151,3.54875514019683
4485942,3.52595115811404
2425121,3.51128534264626
4509283,3.50134318569701
4256727,3.48719247068762
1262177,3.41417176489222
938984,3.39976853213816
2508732,3.35521851446603
762863,3.31725367667279
213481,3.3165858027576
288664,3.31344131229472
459178,3.30418121268635
2638031,3.28916431501972
1469928,3.2857964050306
1392178,3.25492003199783
1375709,3.19081791949941
3704466,3.18296538829297
1693831,3.16675531124296
4272928,3.15327227572433
3530183,3.07725832017144
3148095,3.05683997258975
2086891,3.03211413160823
1635027,3.02635541216501
270804,3.02102636524241
2835082,3.01036462507361
3841963,2.98603746339707
1613457,2.9828629257312
285814,2.95420850692215
3232014,2.94340283798512
3577023,2.90160732477419
2198603,2.88279675728838
2146662,2.87701567718425
926622,2.84259601620807
3371599,2.84207177987052
928463,2.8310385453702
4112059,2.8297496305393
4208362,2.81177970657423
3059495,2.80425149839077
2426262,2.80343733060949
4188237,2.78844560963854
3771508,2.78747872521747
3419070,2.78105842072358
1342777,2.77505643054035
1722606,2.77190425153122
4196904,2.76082770002903
3010368,2.75560822076785
1034494,2.71833323036769
1610421,2.66897442092527
828209,2.66847676962415
2930825,2.65228062418048
103638,2.63462798900784
3596515,2.6266344085484
781534,2.6157226296231
3576049,2.60055816794722
4410161,2.59900773058094
4090922,2.58353522158036
607305,2.58317726943353
924691,2.58252215003929
2720802,2.58047825929324
2167838,2.57375570644161
758366,2.5546894100326
4116547,2.53323198199389
4106194,2.530510375408
3566938,2.52431347730928
1983482,2.51527327013114
4096122,2.47490685700815
1670015,2.44594656495976
1100095,2.44483643425813
1342580,2.43266379529875
253981,2.42700384821416
498539,2.41780281407144
739366,2.40301933948893
124997,2.38621081511323
1342699,2.374108060963
3929271,2.37209893984048
3433558,2.3705529685612
69983,2.35939568899149
3535956,2.35045745316602
3611938,2.34939525120488
2696630,2.34930025337302
2703168,2.33855794316939
3587690,2.313380111333
2719797,2.28546462303409
2623218,2.27520104584337
2401440,2.27482154471439
4425441,2.2697937638595
3421795,2.26052340702984
2429796,2.23447812823826
3617907,2.2325377310099
4186923,2.23222036194184
1603989,2.22472629463577
1317965,2.22022331832344
4418567,2.21663408955344
3548794,2.21171435249469
844189,2.21051757875797
4183070,2.19483394649513
2473068,2.18773385119745
2610795,2.18569200573804
4117289,2.17729205017211
2872169,2.17307851205793
1076853,2.16942355473055
4060907,2.15650284247094
4042932,2.14312082979837
4417065,2.14192287867749
4365304,2.11241035628024
444422,2.10587430653071
31245,2.10005313313745
3679095,2.0553706495087
212957,2.05192271941846
3414507,2.04278782428776
2948263,2.03969077425861
2294215,2.03942381378035
2584096,2.03887537139165
941519,2.03704661292314
745007,2.02358492512308
3021094,1.96792420842762
1674440,1.95119704586229
204749,1.94834023703284
3263240,1.94658953780215
1113190,1.93263911220422
1451268,1.93158893101938
134807,1.9304816187752
1710061,1.9236967128881
3098476,1.91799946778902
3979835,1.90626031835374
3681051,1.90399922019796
1050232,1.89954793906949
671143,1.89184691503689
4218595,1.88793900509138
1744407,1.88000270552266
666506,1.87424741686039
3974288,1.87202869490289
1023825,1.87030617564798
728643,1.87004615645917
4638332,1.86969653015001
2339788,1.86730607052562
3690553,1.8581635316473
2145342,1.85560466268719
1190747,1.85006174002612
2633398,1.84338501773726
1176176,1.84132909819254
3430733,1.83561361825125
3854502,1.82789338043513
2163432,1.81532968602079
1504632,1.81292058147811
908514,1.81228937619144
1540565,1.81003925414754
2919485,1.80579752969761
1120486,1.80391667768927
2601518,1.79979741871259
256598,1.79581762830778
2959328,1.79372733594928
1171724,1.78878807241283
2740538,1.78584518427735
3325575,1.77854624848325
