pos,NOR
3792233,2.87686026931633
3383550,0.896201290906715
4409538,0.80335263574071
3314873,0.668752222050615
3400954,0.585592348579273
2658397,0.553637421867705
3399590,0.54545371518582
1903413,0.501946049707395
2722567,0.478564342922258
2346076,0.457818106415032
2702485,0.454930571867786
4245827,0.449731022473383
2074564,0.443867843894297
2610993,0.420347864077771
3422241,0.38274531238877
4248185,0.372166710606783
3303777,0.34007875632453
2149013,0.313420633598239
4190796,0.306981363442336
3306464,0.28470935322946
3141290,0.276215353988032
3894285,0.274667073032179
4234610,0.274132168762214
3842032,0.260889833633203
2127711,0.243424799520594
1016905,0.242430557787062
2094025,0.242015395477248
3028531,0.23957876009292
3395732,0.231159462677874
3463914,0.221140118276947
4194348,0.219720907447435
1352345,0.214417190997703
870228,0.21372485933919
2123370,0.199799615720483
3615468,0.196438501715989
3570136,0.19587669520819
2511276,0.194857794345142
3434175,0.192474500670064
2715944,0.192010442089584
3312492,0.190461244140565
2136528,0.188227269569269
2685147,0.170184334947254
1991003,0.169506341506146
3681366,0.168880874312009
4274227,0.167559519977346
2154796,0.16728560222844
4204440,0.161476858456174
2633337,0.158993002679485
3873713,0.157310179329593
831540,0.155139380912762
2676237,0.151894402416992
2550904,0.150290762222799
3703933,0.14970280315632
2060388,0.148100786192919
1553603,0.143657919458021
1390123,0.143582081703439
2594232,0.143021541828616
1911635,0.142989227072426
3093741,0.142547491255091
3463070,0.138030192421351
3356515,0.134485426881787
3683062,0.134289813121712
4113522,0.133918122822761
3278248,0.1329305787567
3062657,0.131441333831337
2539848,0.130936744765139
2646300,0.129079137303081
4249865,0.128323073594143
1041389,0.126814070637998
4294756,0.12674841582315
2624671,0.12565020433893
3080084,0.124712337637108
3662312,0.12399747004893
1929337,0.122521601401612
1304555,0.121852696535984
2817199,0.121729390332293
2656856,0.120769774664859
2501765,0.118724142810185
3161524,0.118164660247978
3357547,0.116653088695255
4233924,0.115811353820776
2148515,0.114248486928304
1314113,0.112110987679034
285805,0.11201525393847
1373592,0.11155471393928
2141354,0.108754174379227
471968,0.106849174473273
2283886,0.105649059427532
3286365,0.105019315410043
940579,0.103995764518918
1026838,0.101363171631894
2162654,0.100047170282704
4027421,0.0996168148773369
3431140,0.0964124382639793
613652,0.0962903756401617
2148548,0.0952889437217457
939090,0.0951587818586895
4325884,0.0914592442688241
501913,0.0908670170195476
4207269,0.08937045226174
2159348,0.0878696449146461
1991388,0.085559390010714
3788911,0.0832115587670337
4227074,0.0816331853446449
921954,0.0808376121191026
3439919,0.0790029440932249
1715069,0.078184149191782
3316484,0.0776545549047427
3306884,0.0752061506565866
1754078,0.0745098676662866
1700875,0.073330866614754
2292070,0.0730049333633672
4292227,0.0725121952189736
1392257,0.0716970230887459
2084547,0.0716940367859871
504421,0.0711371189237883
70947,0.0710876564361738
2568799,0.07029551058205
56755,0.0702867018002337
2039636,0.0697368617147095
4189287,0.0687540877106341
646027,0.0686701296711056
419063,0.0684352432934713
4554033,0.0678149593350111
3281279,0.0666239741843763
2653900,0.0632636800768765
2051111,0.062090539382068
517860,0.0584637609338211
2155702,0.0583262484188178
1619194,0.0581396499124001
3399138,0.0570870723185627
2707033,0.0564084827188245
757245,0.0562095125313689
2227552,0.0559342898758041
1916004,0.0528831976289502
3677301,0.0526829285768471
2345989,0.0487503011576855
4461784,0.0482571170542587
4081875,0.0475478105806203
2691119,0.0446387468684253
