pos,count_i_rep1,count_i+5_rep1,dif_mean_rep1,dif_min_max_rep1,count_i_rep2,count_i+5_rep2,dif_mean_rep2,dif_min_max_rep2,count_i_rep3,count_i+5_rep3,dif_mean_rep3,dif_min_max_rep3,frequency,avg_count_rep1,cleavage_percentage_rep1,strength_rep1,avg_count_rep2,cleavage_percentage_rep2,strength_rep2,avg_count_rep3,cleavage_percentage_rep3,strength_rep3,avg_strength
1359,1.1811094732580596,1.1467618653467997,0.1537511811816252,0.1261856176530136,1.2320231480976025,1.2348698682504036,0.0903668811461151,0.0848305412229286,1.4620240952545092,1.4047782193282952,0.1772223858326915,0.1378097335042902,3,1.1639356693024296,0.13209594416310946,0.15375118118162517,1.2334465081740031,0.07326372124551589,0.0903668811461151,1.433401157291402,0.12363767458341966,0.1772223858326915,0.14044681605347728
1465,1.0340841910691887,1.0531323387586202,0.0500728369485747,0.033404498663011,1.0333574435988293,1.065794672770093,0.0652565884875135,0.0387148696525878,1.3027279497357551,1.2990094726977477,0.0594987991080542,0.0426038900498582,3,1.0436082649139045,0.04798049098691798,0.0500728369485747,1.0495760581844613,0.062174234995787954,0.0652565884875135,1.3008687112167514,0.04573774324420697,0.0594987991080542,0.05827607484804747
1553,1.1420084482883677,1.2124367600875718,0.1747267847033466,0.1131128843884834,1.0684965646759843,1.1663347101066168,0.1714005273760384,0.1057532012667616,1.3988936340833398,1.4746035442022054,0.2644648452511768,0.209402648371221,3,1.1772226041879699,0.14842289307201204,0.1747267847033466,1.1174156373913005,0.153390127756031,0.1714005273760384,1.4367485891427725,0.18407176262408456,0.2644648452511768,0.20353071911018725
1831,1.052907015039168,1.03917305156646,0.066892672922846,0.0432603922324832,1.1256300521316656,1.1370453635897146,0.0446001868200174,0.0367257220810317,1.024285778202961,0.9750235648085904,0.0807272630486429,0.0474437901077354,3,1.046040033302814,0.06394848265188863,0.066892672922846,1.13133770786069,0.03942252300982206,0.0446001868200174,0.9996546715057757,0.08075515010302883,0.0807272630486429,0.06407337426383543
3193,1.752365809311602,1.7896468514594686,0.7209539958601086,0.6926069048036323,1.98311312216118,2.147554048351483,0.8663190897430886,0.769193762485858,2.302823818577453,2.339268318256357,1.1302153831089523,1.101796834445676,3,1.7710063303855352,0.4070871930215868,0.7209539958601086,2.0653335852563313,0.4194572227592806,0.8663190897430886,2.321046068416905,0.4869422449162451,1.1302153831089523,0.9058294895707165
3987,1.0943503817381306,0.9592012174850252,0.1849855236193727,0.061284540648442,1.3135831220608862,1.2796033778610163,0.2973741685372602,0.2258123607990028,1.391630127583183,1.3609023504653937,0.309514476749174,0.249138219848408,3,1.0267757996115778,0.18016155395301628,0.1849855236193727,1.2965932499609512,0.22935039076149444,0.2973741685372602,1.3762662390242884,0.2248943321959318,0.309514476749174,0.26395805630193564
6656,1.2815607557698292,1.2658501331405032,0.148894346548742,0.0906598413183332,1.409854642882839,1.538587731573092,0.2607278483320938,0.1778825906357712,1.1122370875642134,1.1514119092887265,0.087771233613263,0.0606021418448043,3,1.273705444455166,0.11689857117037944,0.148894346548742,1.4742211872279656,0.1768580255058946,0.2607278483320938,1.1318244984264698,0.07754844831092438,0.087771233613263,0.16579780949803294
8954,1.0231534604404873,0.9667309099502012,0.0971031458894984,0.0352480877469099,1.143886471028096,1.0583609378442274,0.1528419564682075,0.0947445063966445,1.0617372554983238,1.1239831582494817,0.1140450745724327,0.0673290969417109,3,0.9949421851953442,0.09759677228926969,0.0971031458894984,1.1011237044361617,0.13880543653037722,0.15284195646820747,1.0928602068739028,0.10435467762034777,0.1140450745724327,0.12133005897671285
10715,1.8018040654342933,1.8373232105508457,0.3851955203437747,0.3433518091491301,2.084072601804355,2.203156317228022,0.4731606601103575,0.3315997428218054,2.529942070711061,2.60469294833788,0.6216940898584031,0.5495949976302008,3,1.8195636379925695,0.21169664654803774,0.3851955203437747,2.1436144595161886,0.22073029877637107,0.4731606601103575,2.5673175095244707,0.24215707155503174,0.6216940898584031,0.49335009010417846
10761,2.57645474295245,2.618583793424845,0.1155846896075987,0.0341101687063432,3.679008394993149,3.687044481337171,0.1269422594090379,0.0444021178328939,4.349346952123497,4.479148743038841,0.2431265175462194,0.0609193670555914,3,2.5975192681886474,0.04449810672172625,0.1155846896075987,3.68302643816516,0.03446683360553855,0.1269422594090379,4.414247847581169,0.055077677090434096,0.2431265175462194,0.16188448885428533
10804,2.263989354664868,1.8953389394220213,0.6934175747630931,0.4570322658561814,2.7594066843388383,2.0513036928186708,0.696754514404708,0.2510811897558147,3.717664330162355,2.6378621742178296,1.0578348112334992,0.3450527361557278,3,2.0796641470434447,0.33342767184253785,0.6934175747630931,2.4053551885787545,0.2896680364351501,0.696754514404708,3.1777632521900925,0.33288660207913434,1.0578348112334992,0.8160023001337668
